entry;description;patch
1;Midsummer Fire Festival;20
2;Feast of Winter Veil;20
4;Darkmoon Faire (Elwynn Forest) - July 2020 - Darkmoon Faire Open;24
5;Darkmoon Faire (Mulgore) - June 2020 - Darkmoon Faire Open;24
6;New Year's Eve;20
7;Lunar Festival;20
8;Love is in the Air;20
9;Noblegarden;20
10;Children's Week ;20
11;Elemental Invasion: Air;22
12;Hallow's End;20
13;Elemental Invasion: Fire;22
14;Fishing Extravaganza Announce;25
15;Fishing Extravaganza;25
16;Gurubashi Arena Booty Run;22
17;Scourge Invasion;29
18;Call to Arms: Alterac Valley!;25
19;Call to Arms: Warsong Gulch!;25
20;Call to Arms: Arathi Basin!;25
21;Winter Veil: Gifts;20
22;AQ War Effort;27
23;Darkmoon Faire (Elwynn Forest) - July 2020 - Building Stage 1;24
24;Hallow's End - Wickerman Ember's;20
25;Hallow's End - Banshee Queen;20
26;Darkmoon Faire (Elwynn Forest) - July 2020 - Building Stage 2;24
27;Nights;
28;Darkmoon Faire (Mulgore) - June 2020 - Building Stage 1;24
29;Edge of Madness, Gri'lek;25
30;Edge of Madness, Hazza'rah;25
31;Edge of Madness, Renataki;25
32;Edge of Madness, Wushoolay;25
33;Harvest Festival;20
34;Fishing Extravaganza Turn-in;25
35;Winter Season Fishing;6
36;Summer Season Fishing;6
37;Darkmoon Faire (Mulgore) - June 2020 - Building Stage 2;24
38;Elemental Invasion: Water;22
39;Elemental Invasion: Earth;22
85;Spirit of Competition (TBC+);32
89;Scourge Invasion - Boss in instance activation;29
90;Scourge Invasion - Attacking Winterspring;29
91;Scourge Invasion - Attacking Tanaris;29
92;Scourge Invasion - Attacking Azshara;29
93;Scourge Invasion - Attacking Blasted Lands;29
94;Scourge Invasion - Attacking Eastern Plaguelands;29
95;Scourge Invasion - Attacking Burning Steppes;29
96;Scourge Invasion - 50 Invasions Done;29
97;Scourge Invasion - 100 Invasions Done;29
98;Scourge Invasion - 150 Invasions Done;29
99;Scourge Invasion - Invasions Done;29
100;Before the Storm - Expansion Launch event;32
120;AQ War Effort Phase 1 Item collection;27
121;AQ War Effort Phase 2 Transportation;27
122;AQ War Effort Phase 3 Gong;27
123;AQ War Effort Phase 4 10 Hour War;27
124;AQ War Effort Phase 5 Done;27
125;AQ War Effort Ashi dead;27
126;AQ War Effort Regal dead;27
127;AQ War Effort Zora dead;27
131;AQ War Effort Resource Phase 1;27
132;AQ War Effort Resource Phase 2;27
133;AQ War Effort Resource Phase 3;27
134;AQ War Effort Resource Phase 4;27
135;AQ War Effort Resource Phase 5;27
200;Server Patch;
400;DayTime 7AM to 8PM;
401;DayTime 7AM to 12AM;
1024;Hourly Bells;
